i, t, s
751, 0.017029, 1179.038505
752, 0.017052, -495.215331
753, 0.017075, -2171.901964
754, 0.017098, -3844.420262
755, 0.017120, -5506.168324
756, 0.017143, -7150.569545
757, 0.017166, -8771.098637
758, 0.017188, -10361.307527
759, 0.017211, -11914.851009
760, 0.017234, -13425.512057
761, 0.017256, -14887.226700
762, 0.017279, -16294.108352
763, 0.017302, -17640.471507
764, 0.017324, -18920.854697
765, 0.017347, -20130.042627
766, 0.017370, -21263.087391
767, 0.017392, -22315.328690
768, 0.017415, -23282.412959
769, 0.017438, -24160.311337
770, 0.017460, -24945.336398
771, 0.017483, -25634.157574
772, 0.017506, -26223.815207
773, 0.017528, -26711.733178
774, 0.017551, -27095.730044
775, 0.017574, -27374.028648
776, 0.017596, -27545.264159
777, 0.017619, -27608.490496
778, 0.017642, -27563.185126
779, 0.017664, -27409.252186
780, 0.017687, -27147.023942
781, 0.017710, -26777.260549
782, 0.017732, -26301.148130
783, 0.017755, -25720.295158
784, 0.017778, -25036.727170
785, 0.017800, -24252.879812
786, 0.017823, -23371.590256
787, 0.017846, -22396.087002
788, 0.017868, -21329.978111
789, 0.017891, -20177.237914
790, 0.017914, -18942.192235
791, 0.017937, -17629.502194
792, 0.017959, -16244.146645
793, 0.017982, -14791.403311
794, 0.018005, -13276.828701
795, 0.018027, -11706.236869
796, 0.018050, -10085.677106
797, 0.018073, -8421.410650
798, 0.018095, -6719.886498
799, 0.018118, -4987.716423
800, 0.018141, -3231.649280
801, 0.018163, -1458.544714
802, 0.018186, 324.653639
803, 0.018209, 2110.945339
804, 0.018231, 3893.300634
805, 0.018254, 5664.688121
806, 0.018277, 7418.102487
807, 0.018299, 9146.592213
808, 0.018322, 10843.287135
809, 0.018345, 12501.425746
810, 0.018367, 14114.382138
811, 0.018390, 15675.692474
812, 0.018413, 17179.080883
813, 0.018435, 18618.484672
814, 0.018458, 19988.078765
815, 0.018481, 21282.299252
816, 0.018503, 22495.865973
817, 0.018526, 23623.804031
818, 0.018549, 24661.464147
819, 0.018571, 25604.541790
820, 0.018594, 26449.094979
821, 0.018617, 27191.560705
822, 0.018639, 27828.769889
823, 0.018662, 28357.960824
824, 0.018685, 28776.791044
825, 0.018707, 29083.347558
826, 0.018730, 29276.155419
827, 0.018753, 29354.184580
828, 0.018776, 29316.855014
829, 0.018798, 29164.040066
830, 0.018821, 28896.068025
831, 0.018844, 28513.721901
832, 0.018866, 28018.237412
833, 0.018889, 27411.299170
834, 0.018912, 26695.035097
835, 0.018934, 25872.009071
836, 0.018957, 24945.211831
837, 0.018980, 23918.050188
838, 0.019002, 22794.334551
839, 0.019025, 21578.264848
840, 0.019048, 20274.414865
841, 0.019070, 18887.715075
842, 0.019093, 17423.434026
843, 0.019116, 15887.158340
844, 0.019138, 14284.771420
845, 0.019161, 12622.430931
846, 0.019184, 10906.545148
847, 0.019206, 9143.748260
848, 0.019229, 7340.874724
849, 0.019252, 5504.932775
850, 0.019274, 3643.077177
851, 0.019297, 1762.581348
852, 0.019320, -129.191057
853, 0.019342, -2024.814984
854, 0.019365, -3916.833120
855, 0.019388, -5797.785236
856, 0.019410, -7660.237600
857, 0.019433, -9496.812358
858, 0.019456, -11300.216761
859, 0.019478, -13063.272121
860, 0.019501, -14778.942380
861, 0.019524, -16440.362189
862, 0.019546, -18040.864372
863, 0.019569, -19574.006667
864, 0.019592, -21033.597646
865, 0.019615, -22413.721700
866, 0.019637, -23708.762995
867, 0.019660, -24913.428296
868, 0.019683, -26022.768571
869, 0.019705, -27032.199281
870, 0.019728, -27937.519290
871, 0.019751, -28734.928285
872, 0.019773, -29421.042673
873, 0.019796, -29992.909852
874, 0.019819, -30448.020828
875, 0.019841, -30784.321101
876, 0.019864, -31000.219782
877, 0.019887, -31094.596904
878, 0.019909, -31066.808890
879, 0.019932, -30916.692152
